Reporting entity,Facility name,Type,State,Electricity production (GJ),Electricity production (MWh),"Total scope 1 emissions 
(t CO2-e)","Total scope 2 emissions 
(t CO2-e)","Total emissions 
(t CO2-e)","Emission intensity 
(t CO2-e/ MWh)",Grid connected,Grid,Primary fuel,Important notes
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Werribee Biogas,F,VIC,"134,276","37,299","2,343",0,"2,343",0.06,On,NEM,Sludge Biogas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Woy Woy Landfill,F,NSW,"17,630","4,897",318,0,318,0.06,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Corporate Total,C,-,"520,148","144,486","52,417",0,"52,417",-,-,-,-,-
THE TRUSTEE FOR GRSF TRUST,Greenough River Solar Farm,F,WA,"300,610","83,503",132,192,324,0.00,On,SWIS,Solar,-
THE TRUSTEE FOR GRSF TRUST,Corporate Total,C,-,"300,610","83,503",132,192,324,-,-,-,-,-
THE UNIVERSITY OF QUEENSLAND,Warwick Solar Farm,F,QLD,"73,434","20,398",45,360,405,0.00,On,NEM,Solar,-
THE UNIVERSITY OF QUEENSLAND,Corporate Total,C,-,"73,434","20,398",45,360,405,-,-,-,-,-
TINSEL BIDCO PTY LTD,Snowtown South Wind Farm Pty Ltd,F,SA,"1,486,380","412,883",65,100,165,0.00,On,NEM,Wind,-
TINSEL BIDCO PTY LTD,Snowtown Wind Farm Stage 2 Pty Ltd,F,SA,"1,527,040","424,178",76,143,219,0.00,On,NEM,Wind,-
TINSEL BIDCO PTY LTD,Corporate Total,C,-,"3,013,420","837,061",141,243,384,-,-,-,-,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,"1,007,789","279,941","156,822",0,"156,822",0.56,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,"1,023,214","284,226","155,829",0,"155,829",0.55,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,"978,763","271,879","151,147",0,"151,147",0.56,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,"1,132,293","314,526","189,293",0,"189,293",0.60,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,South Hedland Power Station,F,WA,"1,519,579","422,105","220,840",0,"220,840",0.52,On,NWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,-,"5,661,638","1,572,677","873,931",0,"873,931",-,-,-,-,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Tailem Bend Solar farm,F,SA,"621,994","172,776",78,740,818,0.00,On,NEM,Solar,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Corporate Total,C,-,"621,994","172,776",78,740,818,-,-,-,-,-
WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,"9,112","2,531","1,815",0,"1,815",0.72,Off,Off-grid,Diesel,-
WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,"9,282","2,578","2,054",0,"2,054",0.80,Off,Off-grid,Diesel,-
WATER CORPORATION,Corporate Total,C,-,"18,394","5,110","3,869",0,"3,869",-,-,-,-,-
WEL 1 PTY LTD,Clermont Solar Farm,F,QLD,"639,105","177,529",46,"3,424","3,470",0.00,On,NEM,Solar,-
WEL 1 PTY LTD,Wemen Solar Farm,F,VIC,"666,176","185,049",39,"1,778","1,817",0.00,On,NEM,Solar,-
WEL 1 PTY LTD,Corporate Total,C,-,"1,305,281","362,578",85,"5,202","5,287",-,-,-,-,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,White Rock Solar Farm Pty Ltd,F,NSW,"135,137","37,538",0,51,51,0.00,On,NEM,Solar,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,Corporate Total,C,-,"135,137","37,538",0,51,51,-,-,-,-,-
WILD CATTLE HILL PTY LTD,Wild Cattle Hill Wind Farm,F,TAS,"1,562,847","434,124",64,175,239,0.00,On,NEM,Wind,-
WILD CATTLE HILL PTY LTD,Corporate Total,C,-,"1,562,847","434,124",64,175,239,-,-,-,-,-
YARA AUSTRALIA PTY LTD,YPF UTILITIES PRODUCTION AND SUPPLY,F,WA,"115,658","32,127","24,350",0,"24,350",0.76,Off,Off-grid,Gas,-
YARA AUSTRALIA PTY LTD,Corporate Total,C,-,"115,658","32,127","24,350",0,"24,350",-,-,-,-,-
YATPOOL SOLAR FARM HOLDCO PTY LTD,YATPOOL SOLAR FARM,F,VIC,"180,910","50,253",0,610,610,0.00,On,NEM,Solar,-
YATPOOL SOLAR FARM HOLDCO PTY LTD,Corporate Total,C,-,"180,910","50,253",0,610,610,-,-,-,-,-
